app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
dummy/roofline,ops_1024__n-elems_4194304__repeat_66,,,66,8,0,fast,8.030047,N/A,256.0000,1024,4194304,0.2733,69.9663
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,9,8,0,fast,13.124768,N/A,3072.0000,12288,4194304,0.0229,70.2982
dummy/roofline,ops_128__n-elems_4194304__repeat_128,,,128,8,0,fast,5.57719,N/A,32.0000,128,4194304,0.7603,24.3291
dummy/roofline,ops_12__n-elems_4194304__repeat_128,,,128,8,0,fast,5.348642,N/A,3.0000,12,4194304,0.7924,2.3771
dummy/roofline,ops_1536__n-elems_4194304__repeat_52,,,52,8,0,fast,9.485118,N/A,384.0000,1536,4194304,0.1826,70.1071
dummy/roofline,ops_16384__n-elems_4194304__repeat_7,,,7,8,0,fast,13.610206,N/A,4096.0000,16384,4194304,0.0172,70.3156
dummy/roofline,ops_16__n-elems_4194304__repeat_128,,,128,8,0,fast,5.35171,N/A,4.0000,16,4194304,0.7919,3.1677
dummy/roofline,ops_192__n-elems_4194304__repeat_120,,,120,8,0,fast,5.300302,N/A,48.0000,192,4194304,0.7495,35.9746
dummy/roofline,ops_1__n-elems_4194304__repeat_128,,,128,8,0,fast,5.344452,N/A,0.2500,1,4194304,0.7931,0.1983
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_1,,,128,8,0,fast,8.239717,N/A,0.2500,1,4194304,0.5167,0.1292
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_16,,,128,8,0,fast,5.34583,N/A,0.2500,1,4194304,0.7927,0.1982
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_4,,,128,8,0,fast,5.350268,N/A,0.2500,1,4194304,0.7925,0.1981
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_8,,,128,8,0,fast,5.341727,N/A,0.2500,1,4194304,0.7934,0.1984
dummy/roofline,ops_2048__n-elems_4194304__repeat_36,,,36,8,0,fast,9.089562,N/A,512.0000,2048,4194304,0.1319,67.5083
dummy/roofline,ops_24__n-elems_4194304__repeat_128,,,128,8,0,fast,5.361759,N/A,6.0000,24,4194304,0.7910,4.7461
dummy/roofline,ops_256__n-elems_4194304__repeat_112,,,112,8,0,fast,4.943136,N/A,64.0000,256,4194304,0.7500,47.9971
dummy/roofline,ops_2__n-elems_4194304__repeat_128,,,128,8,0,fast,5.342451,N/A,0.5000,2,4194304,0.7938,0.3969
dummy/roofline,ops_3072__n-elems_4194304__repeat_30,,,30,8,0,fast,10.934595,N/A,768.0000,3072,4194304,0.0915,70.2423
dummy/roofline,ops_32__n-elems_4194304__repeat_128,,,128,8,0,fast,5.377915,N/A,8.0000,32,4194304,0.7881,6.3052
dummy/roofline,ops_384__n-elems_4194304__repeat_104,,,104,8,0,fast,4.86151,N/A,96.0000,384,4194304,0.7073,67.9043
dummy/roofline,ops_3__n-elems_4194304__repeat_128,,,128,8,0,fast,5.344451,N/A,0.7500,3,4194304,0.7930,0.5948
dummy/roofline,ops_4096__n-elems_4194304__repeat_24,,,24,8,0,fast,11.663415,N/A,1024.0000,4096,4194304,0.0686,70.2600
dummy/roofline,ops_48__n-elems_4194304__repeat_128,,,128,8,0,fast,5.411618,N/A,12.0000,48,4194304,0.7834,9.4010
dummy/roofline,ops_4__n-elems_4194304__repeat_128,,,128,8,0,fast,5.344522,N/A,1.0000,4,4194304,0.7929,0.7929
dummy/roofline,ops_512__n-elems_4194304__repeat_92,,,92,8,0,fast,5.606888,N/A,128.0000,512,4194304,0.5436,69.5820
dummy/roofline,ops_6144__n-elems_4194304__repeat_16,,,16,8,0,fast,11.662232,N/A,1536.0000,6144,4194304,0.0458,70.2727
dummy/roofline,ops_64__n-elems_4194304__repeat_128,,,128,8,0,fast,5.444789,N/A,16.0000,64,4194304,0.7787,12.4586
dummy/roofline,ops_6__n-elems_4194304__repeat_128,,,128,8,0,fast,5.345437,N/A,1.5000,6,4194304,0.7929,1.1894
dummy/roofline,ops_768__n-elems_4194304__repeat_77,,,77,8,0,fast,7.02835,N/A,192.0000,768,4194304,0.3641,69.8988
dummy/roofline,ops_8192__n-elems_4194304__repeat_12,,,12,8,0,fast,11.663414,N/A,2048.0000,8192,4194304,0.0343,70.2699
dummy/roofline,ops_8__n-elems_4194304__repeat_128,,,128,8,0,fast,5.347643,N/A,2.0000,8,4194304,0.7925,1.5850
dummy/roofline,ops_96__n-elems_4194304__repeat_128,,,128,8,0,fast,5.513512,N/A,24.0000,96,4194304,0.7689,18.4529
