app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1008__repeat_64,1024,1008,64,8,0,fast,17.362916,3.8960,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_128,1024,1008,64,128,0,fast,20.609418,3.2823,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_16,1024,1008,64,16,0,fast,17.813651,3.7974,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_32,1024,1008,64,32,0,fast,18.197167,3.7174,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_4,1024,1008,64,4,0,fast,17.475913,3.8708,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_64,1024,1008,64,64,0,fast,18.775876,3.6028,2560.0,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512,128,8176,512,8,0,fast,19.532792,3.5113,320.0,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_1,128,8176,512,1,0,fast,17.358552,3.9511,320.0,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_16,128,8176,512,16,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_2,128,8176,512,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_32,128,8176,512,32,0,fast,26.602058,2.5782,320.0,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_4,128,8176,512,4,0,fast,18.672228,3.6731,320.0,,,,
sw/1d,seq-len_16384__num-seq_48__repeat_4__cpg_128,16384,48,4,128,0,fast,13.228208,3.8962,40960.0,,,,
sw/1d,seq-len_16384__num-seq_48__repeat_4__cpg_64,16384,48,4,64,0,fast,13.156154,3.9175,40960.0,,,,
sw/1d,seq-len_2048__num-seq_496__repeat_32,2048,496,32,8,0,fast,16.93468,3.9311,5120.0,,,,
sw/1d,seq-len_2048__num-seq_496__repeat_32__cpg_128,2048,496,32,128,0,fast,18.439907,3.6102,5120.0,,,,
sw/1d,seq-len_2048__num-seq_496__repeat_32__cpg_16,2048,496,32,16,0,fast,17.063046,3.9015,5120.0,,,,
sw/1d,seq-len_2048__num-seq_496__repeat_32__cpg_32,2048,496,32,32,0,fast,17.307514,3.8464,5120.0,,,,
sw/1d,seq-len_2048__num-seq_496__repeat_32__cpg_64,2048,496,32,64,0,fast,17.816896,3.7365,5120.0,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256,256,4080,256,8,0,fast,18.560314,3.6880,640.0,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_1,256,4080,256,1,0,fast,17.171909,3.9862,640.0,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_16,256,4080,256,16,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_2,256,4080,256,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_32,256,4080,256,32,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_4,256,4080,256,4,0,fast,18.045714,3.7932,640.0,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_64,256,4080,256,64,0,fast,26.044343,2.6282,640.0,,,,
sw/1d,seq-len_32768__num-seq_24__repeat_3__cpg_128,32768,24,3,128,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048,32,32752,2048,8,0,fast,29.579608,2.3221,80.0,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048__cpg_1,32,32752,2048,1,0,fast,18.982899,3.6183,80.0,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048__cpg_2,32,32752,2048,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048__cpg_4,32,32752,2048,4,0,fast,24.114131,2.8484,80.0,,,,
sw/1d,seq-len_4096__num-seq_240__repeat_16__cpg_128,4096,240,16,128,0,fast,17.227895,3.7395,10240.0,,,,
sw/1d,seq-len_4096__num-seq_240__repeat_16__cpg_16,4096,240,16,16,0,fast,16.404982,3.9271,10240.0,,,,
sw/1d,seq-len_4096__num-seq_240__repeat_16__cpg_32,4096,240,16,32,0,fast,16.514474,3.9011,10240.0,,,,
sw/1d,seq-len_4096__num-seq_240__repeat_16__cpg_64,4096,240,16,64,0,fast,16.738705,3.8488,10240.0,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128,512,2032,128,8,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_128,512,2032,128,128,0,fast,25.814678,2.6412,1280.0,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_16,512,2032,128,16,0,fast,18.419593,3.7016,1280.0,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_2,512,2032,128,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_32,512,2032,128,32,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_4,512,2032,128,4,0,fast,17.649521,3.8631,1280.0,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_64,512,2032,128,64,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_64__num-seq_16368__repeat_1024,64,16368,1024,8,0,fast,21.897024,3.1352,160.0,,,,
sw/1d,seq-len_64__num-seq_16368__repeat_1024__cpg_1,64,16368,1024,1,0,fast,17.77196,3.8630,160.0,,,,
