app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1008__repeat_64__cpg_4,1024,1008,64,4,0,fast,17.475913,3.8708,2560.0,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_16,128,8176,512,16,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_128__num-seq_8176__repeat_512__cpg_2,128,8176,512,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256,256,4080,256,8,0,fast,18.560314,3.6880,640.0,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_16,256,4080,256,16,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_2,256,4080,256,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_256__num-seq_4080__repeat_256__cpg_32,256,4080,256,32,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_32768__num-seq_24__repeat_3__cpg_128,32768,24,3,128,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048,32,32752,2048,8,0,fast,29.579608,2.3221,80.0,,,,
sw/1d,seq-len_32__num-seq_32752__repeat_2048__cpg_2,32,32752,2048,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128,512,2032,128,8,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_2,512,2032,128,2,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_32,512,2032,128,32,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_512__num-seq_2032__repeat_128__cpg_64,512,2032,128,64,0,fast,TIMEOUT,,,,,,
sw/1d,seq-len_64__num-seq_16368__repeat_1024__cpg_2,64,16368,1024,2,0,fast,18.887916,3.6347,160.0,,,,
