app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1024__repeat_64,1024,1024,64,8,0,fast,17.721131224,3.8778,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_128,1024,1024,64,128,0,fast,21.020501927,3.2692,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_16,1024,1024,64,16,0,fast,18.184593970,3.7790,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_4,1024,1024,64,4,0,fast,17.564006731,3.9125,2560.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512,128,8192,512,8,0,fast,19.653926258,3.4965,320.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512__cpg_1,128,8192,512,1,0,fast,17.437820029,3.9408,320.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32,2048,512,32,8,0,fast,17.557813160,3.9139,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_128,2048,512,32,128,0,fast,19.110546082,3.5959,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_16,2048,512,32,16,0,fast,17.685425837,3.8857,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_8,2048,512,32,8,0,fast,17.561606248,3.9131,5120.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256,256,4096,256,8,0,fast,18.733051069,3.6684,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_1,256,4096,256,1,0,fast,17.253934750,3.9828,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_128,256,4096,256,128,0,fast,33.800103093,2.0331,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048,256,512,2048,8,0,fast,18.410468982,3.7326,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1,256,512,2048,1,0,fast,17.183336213,3.9992,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128,256,512,2048,128,0,fast,29.688576216,2.3147,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128__pod-unique-data_1,256,512,2048,128,1,fast,29.690738136,2.3145,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_16,256,512,2048,16,0,fast,18.874056815,3.6409,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1__pod-unique-data_1,256,512,2048,1,1,fast,17.192537303,3.9971,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__pod-unique-data_1,256,512,2048,8,1,fast,18.412432024,3.7322,640.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048,32,32768,2048,8,0,fast,29.710359813,2.3130,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_1,32,32768,2048,1,0,fast,19.028390838,3.6114,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_16,32,32768,2048,16,0,fast,38.492946649,1.7852,80.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_128,512,2048,128,128,0,fast,26.098768792,2.6331,1280.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_16,512,2048,128,16,0,fast,18.641747336,3.6863,1280.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024,64,16384,1024,8,0,fast,22.014158998,3.1216,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_1,64,16384,1024,1,0,fast,17.846567674,3.8506,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_16,64,16384,1024,16,0,fast,27.658181014,2.4846,160.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096,128,1024,4096,8,0,fast,18.773383939,3.6605,320.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096__pod-unique-data_1,128,1024,4096,8,1,fast,18.779277260,3.6593,320.0,,,,
sw/2d,seq-len_128__num-seq_8192__repeat_512,128,8192,512,8,0,fast,22.214599439,3.0934,320.0,,,,
sw/2d,seq-len_192__num-seq_4096__repeat_512,192,4096,512,8,0,fast,22.142908821,3.4914,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096,192,640,4096,8,0,fast,25.368869792,3.8093,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096__pod-unique-data_1,192,640,4096,8,1,fast,25.372469114,3.8087,480.0,,,,
sw/2d,seq-len_32__num-seq_32768__repeat_512,32,32768,512,8,0,fast,21.389433107,0.8032,80.0,,,,
sw/2d,seq-len_64__num-seq_16384__repeat_512,64,16384,512,8,0,fast,18.193090412,1.8886,160.0,,,,
