app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1024__repeat_64,1024,1024,3,8,0,slow,25.888727806,0.9952,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_128,1024,1024,3,128,0,slow,29.958492318,0.8600,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_16,1024,1024,3,16,0,slow,26.249647149,0.9816,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_4,1024,1024,3,4,0,slow,25.698004144,1.0024,2560.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow,29.046784261,0.9240,320.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512__cpg_1,128,8192,25,1,0,slow,26.401691341,1.0168,320.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32,2048,512,1,8,0,slow,17.185659414,1.0000,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_128,2048,512,1,128,0,slow,18.465489634,0.9304,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_16,2048,512,1,16,0,slow,17.301475616,0.9928,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_8,2048,512,1,8,0,slow,17.183679593,1.0000,5120.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256,256,4096,12,8,0,slow,26.971620769,0.9552,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_1,256,4096,12,1,0,slow,25.175982252,1.0232,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_128,256,4096,12,128,0,slow,43.797154155,0.5880,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048,256,512,102,8,0,slow,28.657317866,0.9552,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1,256,512,102,1,0,slow,26.733504309,1.0240,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128,256,512,102,128,0,slow,46.033207271,0.5944,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128__pod-unique-data_1,256,512,102,128,1,slow,46.030288159,0.5952,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_16,256,512,102,16,0,slow,29.352017877,0.9328,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1__pod-unique-data_1,256,512,102,1,1,slow,26.744544623,1.0240,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__pod-unique-data_1,256,512,102,8,1,slow,28.658909168,0.9552,640.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048,32,32768,102,8,0,slow,39.868394191,0.6864,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_1,32,32768,102,1,0,slow,27.930066368,0.9800,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_16,32,32768,102,16,0,slow,48.263945051,0.5672,80.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_128,512,2048,6,128,0,slow,36.112673234,0.7136,1280.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_16,512,2048,6,16,0,slow,26.972659261,0.9552,1280.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024,64,16384,51,8,0,slow,31.985945281,0.8560,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_1,64,16384,51,1,0,slow,27.237447223,1.0056,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_16,64,16384,51,16,0,slow,39.109404774,0.7000,160.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096,128,1024,204,8,0,slow,28.991607422,0.9448,320.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096__pod-unique-data_1,128,1024,204,8,1,slow,28.991711447,0.9448,320.0,,,,
sw/2d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow,28.768642914,0.9328,320.0,,,,
sw/2d,seq-len_192__num-seq_4096__repeat_512,192,4096,25,8,0,slow,31.188978108,0.9680,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096,192,640,204,8,0,slow,39.402886606,0.9768,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096__pod-unique-data_1,192,640,204,8,1,slow,39.410854981,0.9768,480.0,,,,
sw/2d,seq-len_32__num-seq_32768__repeat_512,32,32768,25,8,0,slow,12.348190836,0.5432,80.0,,,,
sw/2d,seq-len_64__num-seq_16384__repeat_512,64,16384,25,8,0,slow,17.345515514,0.7736,160.0,,,,
dummy/roofline,ops_1024__n-elems_4194304__repeat_66,,,3,8,0,slow,18.071479509,N/A,256.0000,1024,4194304,0.0448,11.4080
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,1,8,0,slow,70.089019368,N/A,3072.0000,12288,4194304,0.0040,11.7656
dummy/roofline,ops_128__n-elems_4194304__repeat_128,,,6,8,0,slow,5.135537765,N/A,32.0000,128,4194304,0.3136,10.0360
dummy/roofline,ops_12__n-elems_4194304__repeat_128,,,6,8,0,slow,2.576247507,N/A,3.0000,12,4194304,0.6248,1.8752
dummy/roofline,ops_1536__n-elems_4194304__repeat_52,,,2,8,0,slow,17.897966723,N/A,384.0000,1536,4194304,0.0296,11.5184
dummy/roofline,ops_16384__n-elems_4194304__repeat_7,,,1,8,0,slow,93.361134377,N/A,4096.0000,16384,4194304,0.0032,11.7768
dummy/roofline,ops_16__n-elems_4194304__repeat_128,,,6,8,0,slow,2.707168508,N/A,4.0000,16,4194304,0.5952,2.3800
dummy/roofline,ops_192__n-elems_4194304__repeat_120,,,6,8,0,slow,7.153166661,N/A,48.0000,192,4194304,0.2248,10.8080
dummy/roofline,ops_1__n-elems_4194304__repeat_128,,,6,8,0,slow,2.463352475,N/A,0.2500,1,4194304,0.6536,0.1632
dummy/roofline,ops_2048__n-elems_4194304__repeat_36,,,1,8,0,slow,14.238353826,N/A,512.0000,2048,4194304,0.0192,9.6528
dummy/roofline,ops_24__n-elems_4194304__repeat_128,,,6,8,0,slow,2.776435822,N/A,6.0000,24,4194304,0.5800,3.4808
dummy/roofline,ops_256__n-elems_4194304__repeat_112,,,5,8,0,slow,7.811538618,N/A,64.0000,256,4194304,0.1720,10.9968
dummy/roofline,ops_2__n-elems_4194304__repeat_128,,,6,8,0,slow,2.461440575,N/A,0.5000,2,4194304,0.6544,0.3272
dummy/roofline,ops_3072__n-elems_4194304__repeat_30,,,1,8,0,slow,17.735576128,N/A,768.0000,3072,4194304,0.0152,11.6240
dummy/roofline,ops_32__n-elems_4194304__repeat_128,,,6,8,0,slow,2.985249129,N/A,8.0000,32,4194304,0.5392,4.3160
dummy/roofline,ops_384__n-elems_4194304__repeat_104,,,5,8,0,slow,11.443830493,N/A,96.0000,384,4194304,0.1176,11.2592
dummy/roofline,ops_3__n-elems_4194304__repeat_128,,,6,8,0,slow,2.485841921,N/A,0.7500,3,4194304,0.6480,0.4856
dummy/roofline,ops_4096__n-elems_4194304__repeat_24,,,1,8,0,slow,23.546015883,N/A,1024.0000,4096,4194304,0.0112,11.6744
dummy/roofline,ops_48__n-elems_4194304__repeat_128,,,6,8,0,slow,3.377006772,N/A,12.0000,48,4194304,0.4768,5.7232
dummy/roofline,ops_4__n-elems_4194304__repeat_128,,,6,8,0,slow,2.494821312,N/A,1.0000,4,4194304,0.6456,0.6456
dummy/roofline,ops_512__n-elems_4194304__repeat_92,,,4,8,0,slow,12.317847417,N/A,128.0000,512,4194304,0.0872,11.1576
dummy/roofline,ops_6144__n-elems_4194304__repeat_16,,,1,8,0,slow,35.176303089,N/A,1536.0000,6144,4194304,0.0080,11.7216
dummy/roofline,ops_64__n-elems_4194304__repeat_128,,,6,8,0,slow,3.594723775,N/A,16.0000,64,4194304,0.4480,7.1688
dummy/roofline,ops_6__n-elems_4194304__repeat_128,,,6,8,0,slow,2.513608082,N/A,1.5000,6,4194304,0.6408,0.9608
dummy/roofline,ops_768__n-elems_4194304__repeat_77,,,3,8,0,slow,13.710716947,N/A,192.0000,768,4194304,0.0584,11.2776
