app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_1024__num-seq_1024__repeat_64,1024,1024,3,8,0,slow_sim32x,25.888727806,3.9808,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_128,1024,1024,3,128,0,slow_sim32x,29.958492318,3.4400,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_16,1024,1024,3,16,0,slow_sim32x,26.249647149,3.9264,2560.0,,,,
sw/1d,seq-len_1024__num-seq_1024__repeat_64__cpg_4,1024,1024,3,4,0,slow_sim32x,25.698004144,4.0096,2560.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow_sim32x,29.046784261,3.6960,320.0,,,,
sw/1d,seq-len_128__num-seq_8192__repeat_512__cpg_1,128,8192,25,1,0,slow_sim32x,26.401691341,4.0672,320.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32,2048,512,1,8,0,slow_sim32x,17.185659414,4.0000,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_128,2048,512,1,128,0,slow_sim32x,18.465489634,3.7216,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_16,2048,512,1,16,0,slow_sim32x,17.301475616,3.9712,5120.0,,,,
sw/1d,seq-len_2048__num-seq_512__repeat_32__cpg_8,2048,512,1,8,0,slow_sim32x,17.183679593,4.0000,5120.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256,256,4096,12,8,0,slow_sim32x,26.971620769,3.8208,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_1,256,4096,12,1,0,slow_sim32x,25.175982252,4.0928,640.0,,,,
sw/1d,seq-len_256__num-seq_4096__repeat_256__cpg_128,256,4096,12,128,0,slow_sim32x,43.797154155,2.3520,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048,256,512,102,8,0,slow_sim32x,28.657317866,3.8208,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1,256,512,102,1,0,slow_sim32x,26.733504309,4.0960,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128,256,512,102,128,0,slow_sim32x,46.033207271,2.3776,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_128__pod-unique-data_1,256,512,102,128,1,slow_sim32x,46.030288159,2.3808,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_16,256,512,102,16,0,slow_sim32x,29.352017877,3.7312,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__cpg_1__pod-unique-data_1,256,512,102,1,1,slow_sim32x,26.744544623,4.0960,640.0,,,,
sw/1d,seq-len_256__num-seq_512__repeat_2048__pod-unique-data_1,256,512,102,8,1,slow_sim32x,28.658909168,3.8208,640.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048,32,32768,102,8,0,slow_sim32x,39.868394191,2.7456,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_1,32,32768,102,1,0,slow_sim32x,27.930066368,3.9200,80.0,,,,
sw/1d,seq-len_32__num-seq_32768__repeat_2048__cpg_16,32,32768,102,16,0,slow_sim32x,48.263945051,2.2688,80.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_128,512,2048,6,128,0,slow_sim32x,36.112673234,2.8544,1280.0,,,,
sw/1d,seq-len_512__num-seq_2048__repeat_128__cpg_16,512,2048,6,16,0,slow_sim32x,26.972659261,3.8208,1280.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024,64,16384,51,8,0,slow_sim32x,31.985945281,3.4240,160.0,,,,
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_1,64,16384,51,1,0,slow_sim32x,27.237447223,4.0224,160.0,,,,
