app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
dummy/roofline,ops_1024__n-elems_4194304__repeat_66,,,66,8,0,slow,15.154687,N/A,256.0000,1024,4194304,0.2816,72.0768
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,9,8,0,slow,TIMEOUT,,,,,,
dummy/roofline,ops_128__n-elems_4194304__repeat_128,,,128,8,0,slow,3.835941,N/A,32.0000,128,4194304,2.1824,69.8144
dummy/roofline,ops_12__n-elems_4194304__repeat_128,,,128,8,0,slow,1.797816,N/A,3.0000,12,4194304,4.5248,13.5712
dummy/roofline,ops_1536__n-elems_4194304__repeat_52,,,52,8,0,slow,17.038723,N/A,384.0000,1536,4194304,0.1888,72.1696
dummy/roofline,ops_16384__n-elems_4194304__repeat_7,,,7,8,0,slow,TIMEOUT,,,,,,
dummy/roofline,ops_16__n-elems_4194304__repeat_128,,,128,8,0,slow,1.836892,N/A,4.0000,16,4194304,4.4320,17.7344
dummy/roofline,ops_192__n-elems_4194304__repeat_120,,,120,8,0,slow,5.011122,N/A,48.0000,192,4194304,1.4688,70.5760
dummy/roofline,ops_1__n-elems_4194304__repeat_128,,,128,8,0,slow,1.716588,N/A,0.2500,1,4194304,4.7424,1.1872
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_1,,,128,8,0,slow,2.774652,N/A,0.2500,1,4194304,2.9984,0.7488
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_16,,,128,8,0,slow,1.755139,N/A,0.2500,1,4194304,4.6304,1.1584
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_4,,,128,8,0,slow,1.695412,N/A,0.2500,1,4194304,4.7840,1.1968
dummy/roofline,ops_1__n-elems_4194304__repeat_128__unroll_8,,,128,8,0,slow,1.712268,N/A,0.2500,1,4194304,4.7456,1.1872
dummy/roofline,ops_2048__n-elems_4194304__repeat_36,,,36,8,0,slow,15.723551,N/A,512.0000,2048,4194304,0.1344,69.4848
dummy/roofline,ops_24__n-elems_4194304__repeat_128,,,128,8,0,slow,1.921339,N/A,6.0000,24,4194304,4.2464,25.4848
dummy/roofline,ops_256__n-elems_4194304__repeat_112,,,112,8,0,slow,6.664688,N/A,64.0000,256,4194304,1.1104,71.0976
dummy/roofline,ops_2__n-elems_4194304__repeat_128,,,128,8,0,slow,1.717361,N/A,0.5000,2,4194304,4.7328,2.3648
dummy/roofline,ops_3072__n-elems_4194304__repeat_30,,,30,8,0,slow,11.355774,N/A,768.0000,3072,4194304,0.0928,71.9808
dummy/roofline,ops_32__n-elems_4194304__repeat_128,,,128,8,0,slow,1.984396,N/A,8.0000,32,4194304,4.1216,32.9664
dummy/roofline,ops_384__n-elems_4194304__repeat_104,,,104,8,0,slow,8.549459,N/A,96.0000,384,4194304,0.7456,71.5040
dummy/roofline,ops_3__n-elems_4194304__repeat_128,,,128,8,0,slow,1.717413,N/A,0.7500,3,4194304,4.7264,3.5456
dummy/roofline,ops_4096__n-elems_4194304__repeat_24,,,24,8,0,slow,15.134887,N/A,1024.0000,4096,4194304,0.0704,72.1792
dummy/roofline,ops_48__n-elems_4194304__repeat_128,,,128,8,0,slow,2.108981,N/A,12.0000,48,4194304,3.8880,46.6528
dummy/roofline,ops_4__n-elems_4194304__repeat_128,,,128,8,0,slow,1.730124,N/A,1.0000,4,4194304,4.6944,4.6944
dummy/roofline,ops_512__n-elems_4194304__repeat_92,,,92,8,0,slow,9.487213,N/A,128.0000,512,4194304,0.5600,71.6704
dummy/roofline,ops_6144__n-elems_4194304__repeat_16,,,16,8,0,slow,22.69419,N/A,1536.0000,6144,4194304,0.0480,72.3616
dummy/roofline,ops_64__n-elems_4194304__repeat_128,,,128,8,0,slow,2.216085,N/A,16.0000,64,4194304,3.7120,59.3952
dummy/roofline,ops_6__n-elems_4194304__repeat_128,,,128,8,0,slow,1.753083,N/A,1.5000,6,4194304,4.6368,6.9536
dummy/roofline,ops_768__n-elems_4194304__repeat_77,,,77,8,0,slow,11.370632,N/A,192.0000,768,4194304,0.3744,71.8880
dummy/roofline,ops_8192__n-elems_4194304__repeat_12,,,12,8,0,slow,TIMEOUT,,,,,,
dummy/roofline,ops_8__n-elems_4194304__repeat_128,,,128,8,0,slow,1.759498,N/A,2.0000,8,4194304,4.6176,9.2320
dummy/roofline,ops_96__n-elems_4194304__repeat_128,,,128,8,0,slow,2.890602,N/A,24.0000,96,4194304,2.8704,68.9216
